DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4634584;2;2;2;70;1;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;58;58;70;1;1;06;7020;05;1578,18393909895;05
4634589;1;5;1;70;1;12;48;1; ;2;24;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;06;5233;05;1089,96835465666;05
4634597;1;1;1;70;1;20;48;1; ;2;27;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;58;97;75;1;2;06;7512;05;1182,26789886433;05
4634599;1;1;1;70;1;12;48;4; ;2;12;4; ;1;2;6; ; ; ; ; ; ; ; ; ; ;1;1;150000;800000;2; ;93;93;50;1;1;06;5020;05;1186,10085224936;05
4634607;1;3;1;70;1;32;48;1; ;2;32;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;33;44;80;1;2;06;8060;05;1114,93627374126;05
4634608;1;3;1;70;1;8;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;34;34;74;1;1;06;7499;05;1080,99718704117;05
4634608;1;5;1;70;1;20;48;2; ;2;20;1; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;59;54;85;1;2;06;8532;05;1080,99718704117;05
4634612;1;3;1;70;1;32;48;1; ;2;32;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;39;97;15;1;2;06;1551;05;1084,89537435122;05
4634618;1;2;1;70;1;20;48;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;53;55;1;2;06;5529;05;1172,74738660748;05
4634619;1;2;1;70;1;12;24;1; ;2;40;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;54;95;1;1;06;9500;05;1506,82187265052;05
