DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;RABAND;FT;DPTO;fex_c_2011
4634581;1;1;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1331,27474302865
4634581;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1331,27474302865
4634582;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634582;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634583;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1191,23906647983
4634583;1;2;1;50;05;1; ; ;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ;06; ;1;05;1191,23906647983
4634583;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1191,23906647983
4634584;1;1;1;50;05;1; ; ;1;4; ;2;2;1; ; ; ; ; ; ; ; ; ;06; ;1;05;1578,18393909895
4634584;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1578,18393909895
4634584;2;1;2;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1578,18393909895
4634584;2;2;2;50;05;1;2; ;2;6;CAMINAR;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1578,18393909895
4634584;2;3;2;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1578,18393909895
4634584;2;4;2;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1578,18393909895
4634585;1;1;1;50;05;1; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1604,19439716364
4634585;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;1;9; ; ; ; ; ; ;06;2;1;05;1604,19439716364
4634586;1;1;1;50;05;1; ; ;1;6;SALIR A CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1114,93627374126
4634586;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1114,93627374126
4634586;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1114,93627374126
4634587;1;1;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1252,39389838789
4634587;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1252,39389838789
4634587;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1252,39389838789
4634588;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1150,97209799146
4634589;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1089,96835465666
4634589;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1089,96835465666
4634589;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1089,96835465666
4634589;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1089,96835465666
4634589;1;5;1;50;05;1;2; ;5;4; ;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1089,96835465666
4634590;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1083,64047286839
4634590;1;2;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1083,64047286839
4634591;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;950,78542874198
4634591;1;2;1;50;05;1; ; ;2;6;PASEAR;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;950,78542874198
4634591;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;950,78542874198
4634592;1;1;1;50;05;1; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1057,12912087059
4634592;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1057,12912087059
4634592;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1057,12912087059
4634593;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1084,89537435122
4634593;1;2;1;50;05;1; ; ;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ;06; ;1;05;1084,89537435122
4634593;1;3;1;50;05;1; ; ;2;3; ;1; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1084,89537435122
4634594;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1253,43247737243
4634595;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1231,10784411506
4634596;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;910,916651106751
4634596;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;910,916651106751
4634596;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;910,916651106751
4634596;1;4;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;910,916651106751
4634596;1;5;1;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;910,916651106751
4634597;1;1;1;50;05;1;1; ;2;6;CAMINAR;2;2;2;1; ; ; ; ; ; ; ;1;06; ;1;05;1182,26789886433
4634597;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1182,26789886433
4634598;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
4634598;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
4634598;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
4634598;1;4;1;50;05;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;959,756596357476
