DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4634584;2;1;2;80;05;1;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;05;1578,18393909895
4634585;1;1;1;80;05;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;05;1604,19439716364
4634585;1;2;1;80;05;1;1;4;4; ;2; ; ;4; ;2; ;2; ;2; ;98;2;1;06;05;1604,19439716364
4634586;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;05;1114,93627374126
4634586;1;2;1;80;05;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;05;1114,93627374126
4634590;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;05;1083,64047286839
4634590;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1083,64047286839
4634591;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;950,78542874198
4634591;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;950,78542874198
4634592;1;1;1;80;05;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;06;05;1057,12912087059
4634592;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1057,12912087059
4634592;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1057,12912087059
4634596;1;2;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;910,916651106751
4634596;1;4;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;05;910,916651106751
4634596;1;5;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;05;910,916651106751
4634597;1;2;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;1182,26789886433
4634598;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;959,756596357476
4634598;1;4;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;05;959,756596357476
4634601;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1084,89537435122
4634602;1;2;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;1103,38705422357
4634602;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;05;1103,38705422357
4634603;1;1;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;1111,10332035623
4634603;1;2;1;80;05;1;1;4;1; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;1111,10332035623
4634604;1;2;1;80;05;1;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;05;1186,10085224936
4634605;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1029,66627338275
4634611;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1182,26789886433
4634612;1;2;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;1084,89537435122
4634613;1;1;1;80;05;1;1;1;5; ;2; ; ;10; ;3; ;2; ;1;48;2000000;3;1;06;05;959,756596357476
4634613;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;959,756596357476
4634613;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;959,756596357476
4634613;1;4;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;959,756596357476
4634614;1;3;1;80;05;1;1;1;8; ;2; ; ;4; ;1; ;2; ;2; ;781242;2;1;06;05;1096,44459386891
4634616;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;05;1206,13596503491
4634619;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;05;1506,82187265052
4634620;1;2;1;80;05;1;1;4;9;CAMBIO DE RESIDENCIA;2; ; ;9; ;2; ;2; ;2; ;781242;2;1;06;05;1038,63744099824
4634620;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1038,63744099824
4634622;1;2;1;80;05;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;48;781242;2;1;06;05;1514,53813878319
4634626;1;2;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;1498,77326706532
4634627;1;1;1;80;05;1;1;4;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;06;05;1083,64047286839
4634630;1;1;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1150,97209799146
4634631;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1038,63744099824
4634632;1;1;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1118,76922712628
4634633;1;1;1;80;05;1;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;06;05;1101,58280809938
4634634;1;1;1;80;05;1;1;4;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;06;05;1182,26789886433
4634634;1;2;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;1182,26789886433
4634636;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;05;1029,66627338275
4634637;1;2;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;1536,86277204056
4634643;1;1;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;1;50000; ; ; ;2;1;06;05;1083,64047286839
4634644;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;05;1038,63744099824
4634645;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;05;1151,3702888446
4634645;1;2;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;05;1151,3702888446
4634645;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1151,3702888446
4634645;1;4;1;80;05;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;05;1151,3702888446
4634645;1;5;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1151,3702888446
4634646;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1038,63744099824
4634652;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;05;1318,47062202813
4634655;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;05;1150,97209799146
4634663;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1182,26789886433
4634666;1;2;1;80;05;1;1;1;7; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;05;1159,94326560696
4634667;1;1;1;80;05;1;1;3;6; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;06;05;1150,97209799146
4634669;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1029,66627338275
4634670;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1066,10028848608
4634670;1;4;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;05;1066,10028848608
4634676;1;2;1;80;05;1;1;3;6; ;2; ; ;9; ;1; ;2; ;2; ;1500000;2;1;06;05;1585,70271729129
4634678;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;05;1150,97209799146
4634679;1;2;1;80;05;1;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;1440,04355216436
4634684;1;1;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;05;1025,83331999772
4634684;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;05;1025,83331999772
4634687;1;3;1;80;08;1;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;780000;2;1;06;08;555,496750433954
4634687;1;4;1;80;08;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;08;555,496750433954
4634688;1;3;1;80;08;1;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;781000;2;1;06;08;654,339524428728
4634689;1;1;1;80;08;1;1;4;3; ;2; ; ;9; ;1;1;2; ;2; ;800000;1;1;06;08;492,655040475433
4634689;1;2;1;80;08;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;08;492,655040475433
4634689;1;3;1;80;08;1;1;4;4; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;06;08;492,655040475433
4634690;1;1;1;80;08;1;1;4;1; ;2; ; ;8; ;2; ;2; ;1;48;1500000;2;1;06;08;485,925740445988
4634690;1;2;1;80;08;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;08;485,925740445988
