DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4634536;1;1;1;10;1;1;9;1976;41;1;2;2; ;2; ;1;2;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;06;66;1030,21438896801
4634536;1;2;1;10;2;2;6;1971;46;2;2;3; ;3; ;1;1;1; ; ;1;1;75600;2;1;2; ;6;2;3; ;2;13;06;66;1030,21438896801
4634536;1;3;1;10;3;1;9;1997;20;3;6;2; ;1;2; ; ;1; ; ;1;1;31250;2;1;2; ;6;1;3; ;2;12;06;66;1030,21438896801
4634536;1;4;1;10;4;1;6;1996;22;9;6;3; ;2; ; ; ;1; ; ;1;1;31250;2;1;2; ;5;11;2; ;2;11;06;66;1030,21438896801
4634537;1;1;1;10;1;2;5;1953;65;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;66;1104,29190983633
4634537;1;2;1;10;2;2;4;2003;15;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;06;66;1104,29190983633
4634537;1;3;1;10;3;2;12;1951;66;5;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;06;66;1104,29190983633
4634537;1;4;1;10;4;1; ; ;76;9;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;66;1104,29190983633
4634538;1;1;1;10;1;1;12;1941;76;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;66;930,371783755218
4634538;1;2;1;10;2;2;4;1941;77;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;66;930,371783755218
4634538;1;3;1;10;3;1;7;1964;53;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;66;930,371783755218
4634538;1;4;1;10;4;1;8;1969;48;3;2;1;1;1;2;1;5;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;66;930,371783755218
4634538;1;5;1;10;5;2;7;1977;40;5;2;2; ;2; ;1;4;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;66;930,371783755218
4634538;1;6;1;10;5;2;10;2008;9;4; ;1;4;1;5; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;06;66;930,371783755218
4634540;1;1;1;10;1;1;6;1938;80;1;3;3; ;3; ;2; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;66;1170,58895069947
4634541;1;1;1;10;1;1;11;1978;39;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;06;66;896,864429981941
