DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4634577;1;3;1;70;2;24;48;2; ;2;24;2; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2000000;1;1;39;39;75;1;2;06;7512;66;1330,45861463788
4645774;1;3;1;70;2;8;40;8; ;2;8;8; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;440000;2; ;62;62;01;1;1;06;0111;17;2171,3257629456
4645774;1;4;1;70;2;20;48;8; ;2;8;8; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;62;62;01;1;2;06;0111;17;2171,3257629456
4645793;1;5;1;70;2;36;48;1; ;2;5;1; ;4;2;2; ; ; ; ;1; ; ; ; ; ; ;1;35000;781242;2; ;97;62;01;1;2;06;0117;17;4352,11313660844
4645808;1;2;1;70;2;10;48;1; ;2;10;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;55;74;1;1;06;7493;17;1719,85451202016
4647267;1;2;1;70;2;4;15;4; ;2;208;8; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;41;62;01;1;1;06;0123;63;4049,59024227481
4647272;1;2;1;70;2;4;10;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;120000; ; ;53; ; ;1;1;06; ;63;5500,95488833809
4647288;1;2;1;70;2;6;25;1; ;2;12;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;53;53;55;1;1;06;5521;63;5499,38476246629
4647289;1;2;1;70;2;80;48;1; ;2;80;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;39;39;64;1;2;06;6412;63;2041,55286044359
4650113;1;3;1;70;2;12;40;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;45;45;45;1;1;06;4521;19;1881,50126332998
