DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011
4634536;1;4;3;2;1;1;1;3;3;2; ;550000;80000000;150000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;1;1;2;1;4;4;2; ;1;1;1;4;1;1;1;2;1;2;1;1;01;2;06;66;1030,21438896801
4634537;1;3;3;3;1;1;6;1;4;1; ; ;10000000;500000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2; ;1;1;1;4;1;2;2;2;1;2;1;1;01;2;06;66;1104,29190983633
4634538;1;3;3;2;1;5;1;1;4;1; ; ;45000000;250000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;4;6;2; ;1;1;4;3;1;1;2;2;2; ;1;1;01;2;06;66;930,371783755218
4634540;1;3;1;2;1;1;6;1;4;4; ; ; ;200000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;4;4;1;2;2;2;1;2;2; ;01;2;06;66;1170,58895069947
4634541;1;3;2;2;1;1;6;1;4;3; ; ; ; ;400000;2;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;3;4;2; ;1;1;1;4;1;1;1;2;1;2;2; ;01;2;06;66;896,864429981941
4634542;1;5;3;2;1;1;1;1;3;1; ; ;90000000;300000; ;2;1;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;1;1;2;2;1;3;6;2; ;1;1;1;4;1;1;1;2;1;2;1;1;01;2;06;66;1879,72417595857
4634544;1;3;2;2;1;5;6;1;4;1; ; ;10000000;50000; ;2;2;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;3;3;2; ;1;1;5;3;1;1;2;2;2; ;2; ;01;2;06;66;864,728208361608
4634545;1;3;2;2;1;1;1;1;4;1; ; ;98;500000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;1;1;1;2;1;2;2;2;1;2;1;2;01;2;06;66;1049,99013026863
4634546;1;4;2;2;1;1;1;1;3;1; ; ;75000000;300000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;2;2;2; ;1;1;1;4;1;1;1;2;1;2;1;1;01;2;06;66;1256,79313440683
4634548;1;3;1;2;1;5;1;1;4;4; ; ; ;100000; ;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;1;4;1;1;2;2;2; ;1;1;01;2;06;66;988,486951876429
