DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4634584;2;2;2;70;05;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;58;58;70;1;1;7020;06;05;1578,18393909895
4634589;1;5;1;70;05;12;48;1; ;2;24;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;5233;06;05;1089,96835465666
4634597;1;1;1;70;05;20;48;1; ;2;27;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;58;97;75;1;2;7512;06;05;1182,26789886433
4634599;1;1;1;70;05;12;48;4; ;2;12;4; ;1;2;6; ; ; ; ; ; ; ; ; ; ;1;1;150000;800000;2; ;93;93;50;1;1;5020;06;05;1186,10085224936
4634607;1;3;1;70;05;32;48;1; ;2;32;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;33;44;80;1;2;8060;06;05;1114,93627374126
4634608;1;3;1;70;05;8;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;34;34;74;1;1;7499;06;05;1080,99718704117
4634608;1;5;1;70;05;20;48;2; ;2;20;1; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;59;54;85;1;2;8532;06;05;1080,99718704117
4634612;1;3;1;70;05;32;48;1; ;2;32;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;39;97;15;1;2;1551;06;05;1084,89537435122
4634618;1;2;1;70;05;20;48;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;53;55;1;2;5529;06;05;1172,74738660748
4634619;1;2;1;70;05;12;24;1; ;2;40;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;54;95;1;1;9500;06;05;1506,82187265052
4634622;1;3;1;70;05;40;48;1; ;2;40;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;90;79;18;1;2;1810;06;05;1514,53813878319
4634629;1;1;1;70;05;12;48;1; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;4521;06;05;1107,22000760859
4634629;1;2;1;70;05;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;781242;2; ;79;79;18;1;1;1810;06;05;1107,22000760859
4634629;1;3;1;70;05;4;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;4521;06;05;1107,22000760859
4634633;1;3;1;70;05;24;48;1; ;2;24;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;87;87;29;1;2;2919;06;05;1101,58280809938
